sku,descricao,gross_price,price,pagamento,date,day,hour
14270,Lady Million Privé Paco Rabanne -  Feminino - Eau de Parfum,,"328,90","10x de R$ 32,89",2020-05-06 21:15:09.934161,05/06/20,21:15:09
13640,Wave For Her Hollister - Perfume Feminino - Eau de Parfum,"169,00","118,90","3x de R$ 39,63",2020-05-06 21:15:09.934161,05/06/20,21:15:09
13492,Secret I-scents - Perfume Feminino - Eau de Parfum,"39,80","33,80",,2020-05-06 21:15:09.934161,05/06/20,21:15:09
13491,Coretan I-scents - Perfume Feminino - Eau de Parfum,"37,80","32,13",,2020-05-06 21:15:09.934161,05/06/20,21:15:09
12843,Apaixonada Phytoderm - Perfume Feminino - Deo Colônia,"25,90","18,13",,2020-05-06 21:15:09.934161,05/06/20,21:15:09
12757,Eau de Lacoste L.12.12 Pour Elle Sparkling Lacoste - Perfume Feminino - Eau de Toilette,"309,00","169,00","5x de R$ 33,80",2020-05-06 21:15:09.934161,05/06/20,21:15:09
11758,Mademoiselle Azzaro - Perfume Feminino - Eau de Toilette,"218,90","149,00","4x de R$ 37,25",2020-05-06 21:15:09.934161,05/06/20,21:15:09
11758,Mademoiselle Azzaro - Perfume Feminino - Eau de Toilette,"218,90","149,00","4x de R$ 37,25",2020-05-06 21:15:09.934161,05/06/20,21:15:09
9408,Majestic Pour Femme Fiorucci - Perfume Feminino - Deo Colônia,,"49,90",,2020-05-06 21:15:09.934161,05/06/20,21:15:09
8581,Anais Anais Premier Delice Cacharel - Perfume Feminino - Eau de Toilette,,"178,80","5x de R$ 35,76",2020-05-06 21:15:09.934161,05/06/20,21:15:09
8333,Madame In Love La Rive - Perfume Feminino - Eau de Parfum,"69,90","56,90",,2020-05-06 21:15:09.934161,05/06/20,21:15:09
8242,Boss Ma Vie Pour Femme Hugo Boss - Perfume Feminino - Eau de Parfum,"429,00","321,75","10x de R$ 32,17",2020-05-06 21:15:09.934161,05/06/20,21:15:09
7561,Classique Marina de Bourbon - Perfume Feminino - Eau de Parfum,"170,00","149,00","4x de R$ 37,25",2020-05-06 21:15:09.934161,05/06/20,21:15:09
5688,Miss Dior Blooming Bouquet Dior - Perfume Feminino - Eau de Toilette,,"279,00","9x de R$ 31,00",2020-05-06 21:15:09.934161,05/06/20,21:15:09
4253,Pacha Ibiza Rosé Pacha Ibiza - Perfume Feminino - Eau de Toilette,"98,90","79,00","2x de R$ 39,50",2020-05-06 21:15:09.934161,05/06/20,21:15:09
4228,Miracle Lancôme - Perfume Feminino - Eau de Parfum,"428,90","299,80","9x de R$ 33,31",2020-05-06 21:15:09.934161,05/06/20,21:15:09
3984,Amani Code Pour Femme Giorgio Armani - Perfume Feminino - Eau de Parfum,,"438,90","10x de R$ 43,89",2020-05-06 21:15:09.934161,05/06/20,21:15:09
3979,Anais Anais L'Original Cacharel - Perfume Feminino - Eau de Toilette,,"258,80","8x de R$ 32,35",2020-05-06 21:15:09.934161,05/06/20,21:15:09
3965,Acqua Di Gioia Giorgio Armani - Perfume Feminino - Eau de Parfum,,"268,90","8x de R$ 33,61",2020-05-06 21:15:09.934161,05/06/20,21:15:09
3592,Dior Addict Dior - Perfume Feminino - Eau de Parfum,,"299,00","9x de R$ 33,22",2020-05-06 21:15:09.934161,05/06/20,21:15:09
3483,Daniella Sabrini Paris Elysees - Perfume Feminino - Eau de Toilette,"69,00","41,40",,2020-05-06 21:15:09.934161,05/06/20,21:15:09
3307,Classique Jean Paul Gaultier - Perfume Feminino - Eau de Toilette,,"319,00","10x de R$ 31,90",2020-05-06 21:15:09.934161,05/06/20,21:15:09
8324,Belle Pour Femme I-Scents - Perfume Feminino - Eau de Parfum,,"0,00",,2020-05-06 21:15:09.934161,05/06/20,21:15:09
3306,Classique Jean Paul Gaultier - Perfume Feminino - Eau de Parfum,,"298,90","9x de R$ 33,21",2020-05-06 21:15:09.934161,05/06/20,21:15:09
2831,Baiser Volé Cartier - Perfume Feminino - Eau de Parfum,,"670,00","10x de R$ 67,00",2020-05-06 21:15:09.934161,05/06/20,21:15:09
1685,Pure Poison Dior - Perfume Feminino - Eau de Parfum,,"298,90","9x de R$ 33,21",2020-05-06 21:15:09.934161,05/06/20,21:15:09
1345,Number One Paris Elysees - Perfume Unissex - Eau de Toilette,"69,00","59,80",,2020-05-06 21:15:09.934161,05/06/20,21:15:09
