dpto,categoria,sku,descricao,gross_price,price,pagamento,frete,date,day,hour
perfumes,feminino,31506,Hot Couture Givenchy Eau de Parfum - Perfume Femin,," 554,90                            ","10x de R$ 55,49",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,68405,Pure Musc For Her Narciso Rodriguez Eau de Parfum ,," 556,90                            ","10x de R$ 55,69",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,41193,Intense La Vie Est Belle Lancôme Eau de Parfum - P,," 498,90                            ","9x de R$ 55,43",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,67714,Splendeur Paris Fiorucci Eau de Cologne - Perfume ,"49,90"," 39,90",,False,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,68684,Tommy Girl Tommy Hilfiger Eau de Toilette - Perfum,," 284,90                            ","5x de R$ 56,98",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,53049,Gold Seduction Women’ Secret Eau de Parfum - Perfu,"167,90"," 134,90","2x de R$ 67,45",False,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,16471,Isa Ulric de Varens Eau de Parfum - Perfume Femini,," 72,90",,False,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,34452,Opium Yves Saint Laurent Eau de Toilette - Perfume,," 598,90                            ","10x de R$ 59,89",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,50066,First Instinct Abercrombie & Fitch Eau de Parfum -,"498,90"," 448,90                            ","8x de R$ 56,11",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,41197,La Nuit Trésor Lancôme Eau de Toilette – Perfume F,," 498,90                            ","9x de R$ 55,43",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,65639,Acqua I-Scents Eau de Parfum - Perfume Feminino 10,"46,90"," 34,90",,False,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,49115,Elegance Noir Ana Hickmann Deo Colônia - Perfume F,"79,90"," 63,90",,False,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,49489,The One Dolce & Gabbana Eau de Toilette - Perfume ,," 498,90                            ","9x de R$ 55,43",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,9719,Jimmy Choo Eau de Parfum - Perfume Feminino 60ml,"438,90"," 306,90                            ","6x de R$ 51,15",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,10223,Gold-Issime Ulric de Varens Eau de Parfum - Perfum,"135,90"," 109,90","2x de R$ 54,95",False,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,21930,Intense Dolce & Gabbana Eau de Parfum - Perfume Fe,," 358,90                            ","7x de R$ 51,27",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,65640,Miss I-Scents Eau de Parfum - Perfume Feminino 100,"46,90"," 37,90",,False,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,69617,Lady Rose Vizcaya Eau de Toilette - Perfume Femini,"69,90"," 40,90",,False,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,73695,La Petite Robe Noire Guerlain Eau de Toilette - Pe,," 249,90                            ","5x de R$ 49,98",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,16244,Organza Givenchy Eau de Parfum - Perfume Feminino ,," 554,90                            ","10x de R$ 55,49",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,23618,Roses de Chloé Eau de Toilette - Perfume Feminino ,," 589,90                            ","10x de R$ 58,99",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,26225,Baiser Volé Lys Rose Cartier Eau de Toilette - Per,"545,90"," 519,90                            ","10x de R$ 51,99",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,71729,L.12.12 Elle Magnetic Lacoste Eau de Parfum - Perf,," 229,90                            ","4x de R$ 57,48",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,51026,Queen of Seduction Absolute Diva Antonio Banderas ,"158,90"," 89,90",,False,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,17116,Prada Amber Prada Eau de Parfum - Perfume Feminino,," 489,00                            ","9x de R$ 54,33",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,28498,Chloé Love Story Eau de Parfum - Perfume Feminino ,," 714,90                            ","10x de R$ 71,49",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,38996,Dance Shakira Eau de Toilette - Perfume Feminino 5,"100,00"," 99,90","2x de R$ 49,95",False,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,72852,Lady Diamond Swarovski La Rive  Eau de Parfum - Pe,"149,90"," 129,90","2x de R$ 64,95",False,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,54430,Alien Flora Futura Mugler Eau de Toilette - Perfum,"278,90"," 199,90                            ","4x de R$ 49,98",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,46463,Lolita Serum The Body Shop - Perfume Feminino 100m,," 155,00","3x de R$ 51,67",False,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,7974,Animale Eau de Parfum - Perfume Feminino 100ml,"413,90"," 310,90                            ","6x de R$ 51,82",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,69026,Mon GUERLAIN Florale Eau de Parfum - Perfume Femin,," 264,90                            ","5x de R$ 52,98",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,69390,BURBERRY Her Blossom Eau de Toilette - Perfume Fem,," 438,90                            ","8x de R$ 54,86",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,44280,COACH Eau de Toilette - Perfume Feminino 30ml,," 268,90                            ","5x de R$ 53,78",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,32004,Varensia White Ulric de Varens Eau de Parfum - Per,"92,90"," 73,90",,False,2020-05-05 19:58:04.339532,05/05/20,19:58:04
